"ID","Title","Brand","Product Type","Sku","Parent Product ID","Product Active Installations","Plugin Extensions","Product Addons","Product Author","Product Ease of use","Product Founder","Product Last Updated","Product Licensing Type","Product Marketplace","Type","Product Pricing options","Product Review Date","Product Site Usage","Product Support Duration","Product Support type","Product Team Size","Product Wordpress Compatibility","_seopress_titles_title","_seopress_titles_desc","_seopress_analysis_target_kw"
"2976","Paid Membership Pro"," Stranger Studios","external","2976","0","100000","None","80 + Addons"," Stranger Studios","Moderate","Jason Coleman ","3 Days","GPL","Own Site","Membership ","Annual subscription","11/26/2020","Single Site","Life time","Support Tickets, Documentation","10","Latest","Paid Membership Pro  Plugin Features, reviews and Pricing | Appsfomo","","Paid Membership Pro Review"
"2980","AccessPress Anonymous Post Pro","AccessKeys","external","2980","0","3262","None","2 Addons","AccessKeys","Moderate","Arjun Thakuri","2 Days","GPL","Codecanyon","Form Builder","Annual subscription","11/26/2020","Single Site","6 months","FAQ, Fourm","11","Latest","AccessPress Anonymous Post Pro  Plugin Features, reviews and Pricing | Appsfomo","","AccessPress Anonymous Post Pro Review"
"2982","SEMrush","SEMursh","external","2982","0","10000","None","5 Addons","SEMursh","Easy","Oleg Shchegolev","2 Months ago","GPL","Own Site","SEO","Annual subscription, Monthly Payment","11/26/2020","Singlr Site","12 months","Support Tickets, Documentation","20","Latest","SEMrush  Plugin Features, reviews and Pricing | Appsfomo","","SEMrush Review"
"2984","S2 Member Pro"," WP Sharks","external","2984","0","20000","None","3 Addons"," WP Sharks","Easy"," WP Sharks","9 Months ago","GPL","Own Site","Membership ","One-time payment","11/27/2020","Single Site, Unlimited Site","Life time","Support Tickets, Article","4","Latest","S2 Member Pro  Plugin Features, reviews and Pricing | Appsfomo","","S2 Member Pro Review"
"2990","Soliloquy"," Soliloquy Team","external","2990","0","70000","None","7 Addons"," Soliloquy Team","Easy","Nathan Singh","2 Months Aago","GPL","Own Site","Slider","Annual subscription","11/27/2020","Singlr Site, 3 Sites, 5 Sites, Unlimited Sites","12 months","support Tickets","6","Latest","Soliloquy  Plugin Features, reviews and Pricing | Appsfomo","","Soliloquy Review"
"2997","Superfly","Looks Awesome","external","2997","0","8675","None","3 Addons","Looks Awesome","Easy","Looks Awesome","1 Month ago","GPL","Codecanyon","Menu","Monthly payment","11/27/2020","Single site","6 months","FAQ","3","Latest","Superfly  Plugin Features, reviews and Pricing | Appsfomo","","Superfly Review"
"2999","Easy Social Share Button","Appscreo","external","2999","0","30053","None","10 Addons","Appscreo","Easy","Appscreo","3 Days ago","GPL","Codecanyon","Social Network","Annual subscription","11/27/2020","Single site","6 months","Live Chat, SupportTickets","3","Latest","Easy Social Share Button  Plugin Features, reviews and Pricing | Appsfomo","","Easy Social Share Button Review"
"3007","Bookly","Ladela","external","3007","0","33549","None","35+ Addons","Ladela","Easy","Bookly","2 Weeks ago","GPL","Codecanyon","Calenders","Annual subscription","11/27/2020","Single site","6 months","Support Tickets, Live Chat","10","Latest","Bookly  Plugin Features, reviews and Pricing | Appsfomo","","Bookly Review"
"3009","Flow Flow","Looks Awesome","external","3009","0","2420","None","2 Aaddons","Looks Awesome","Easy","Looks Awesome","2 Weeks ago","GPL","Codecanyon","Social Network","One-time payment","11/27/2020","Single Site","6 months","FAQ, Live Chat","5","Latest","Flow Flow  Plugin Features, reviews and Pricing | Appsfomo","","Flow Flow Review"
"3011","Booki","Typps","external","3011","0","200000","None","None","Typps","Easy","Booki","2 Years ago","GPL","Codecanyon","Calenders","Annual subscription","11/27/2020","Single Site","6 months","FAQ, Fourm","5","Latest","Booki  Plugin Features, reviews and Pricing | Appsfomo","","Booki Review"
"3013","Social Media Feather","Social Media Feather","external","3013","0","20000000","None","None","Social Media Feather","Easy","-","4 Months ago","GPL","Own Site","Social Network","Annual subscription","11/29/2020","Unlimited Sites","Life time","Fourm","5+","Latest","Social Media Feather  Plugin Features, reviews and Pricing | Appsfomo","","Social Media Feather Review"
"3017","Social share buttons - social pug","Mediavine","external","3017","0","2000000","None","None","Mediavine","Moderate","Eric Hochberger","5 Months ago","GPL","Own Site","Social Network","Annual subscription","11/30/2020","Singlr Site, 3 Sites, 5 Sites, Unlimited Sites","12 months","Support Tickets, Documentation","10+","Latest","Social share buttons - social pug  Plugin Features, reviews and Pricing | Appsfomo","","Social share buttons - social pug Review"
"3019","Realtyna","Realtyna","external","3019","0","200000","None","None","Realtyna","Moderate","Ali Attar","4 Months ago","GPL","Own Site","Website Builder","One-time payment","11/27/2020","Singlr Site, 3 Sites, 5 Sites, Unlimited Sites","12 months","Fourm, Support Tickets","30+","Latest","Realtyna  Plugin Features, reviews and Pricing | Appsfomo","","Realtyna Review"
"3023","Booked","BoxyStudio","external","3023","0","500+","None","None","BoxyStudio","Moderate","Michael Jepp","1 Month ago","GPL","Codecanyon","Calenders","Annual subscription","11/28/2020","Single Site","6 months","Fourm, Support Tickets","10+","Latest","Booked  Plugin Features, reviews and Pricing | Appsfomo","","Booked Review"
"3027","Awesome Live Chat","KamalKhan","external","3027","0","200000+","None","None","KamalKhan","Easy","KamalKhan","2 Month ago","GPL","Codecanyon","Live- Chat","Annual subscription","11/29/2020","Single Site","6 months","Support Tickets","<5","Latest","Awesome Live Chat  Plugin Features, reviews and Pricing | Appsfomo","","Awesome Live Chat Review"
"3029","WP Simple Booking calendar","Veribo","external","3029","0","5000+","None","None","Veribo","Moderate","Veribo ","1 Month ago","GPL","Codecanyon","Live- Chat","One-time payment","11/30/2020","Default","12 months","Fourm, Support Tickets","5+","Latest","WP Simple Booking calendar  Plugin Features, reviews and Pricing | Appsfomo","","WP Simple Booking calendar Review"
"3031","Chat X","Screets","external","3031","0","7387","None","None","Screets","Moderate","-","Default","GPL","Default","Live- Chat","One-time payment","12/1/2020","Default","6 months","Support Tickets","5+","Latest","Chat X  Plugin Features, reviews and Pricing | Appsfomo","","Chat X Review"
"3033","Web 2.0 Directory","Shamalli","external","3033","0","50399","Woocommerce ","5 Addons","Shamalli","Easy","Shamalli","3 Weeks ago","GPL","Codecanyon","Real Estate","Annual subscription","11/28/2020","single site","6 months","FaQ, Live Chat","1","Latest","Web 2.0 Directory  Plugin Features, reviews and Pricing | Appsfomo","","Web 2.0 Directory Review"
"3035","EventOn","EeventOn","external","3035","0","853","Event Listing","40 Addons","EeventOn","Easy","Ashan Jay","1 Week ago","GPL","Codecanyon","Calenders","One-time payment","11/28/2020","Single site","6 months","Support Tickets","1","Latest","EventOn  Plugin Features, reviews and Pricing | Appsfomo","","EventOn Review"
"3037","Real Estate Pro","E-plugins","external","3037","0","5000","Listing","2 Aaddons","E-plugins","Advanced","E-Plugin","1 Week ago","GPL","Codecanyon","Real Estate","One-time payment","11/28/2020","Single site","6 months","Support Tickets","3","Latest","Real Estate Pro  Plugin Features, reviews and Pricing | Appsfomo","","Real Estate Pro Review"
"3043","Estatik","Estatik","external","3043","0","6000","None","9 Addons","Estatik","Easy","Estatik","1 Month ago","GPL","Own Site","Real Estate","Annual subscription","11/28/2020","Single site","12 months","FAQ, Documentation","1","Latest","Estatik  Plugin Features, reviews and Pricing | Appsfomo","","Estatik Review"
"3045","Easy Property Listing","Real Estate Connected","external","3045","0","7902","Core Extentions","25 Addons","Real Estate Connected","Easy","Merv Barrett","1 Month ago","GPL","Own Site","Real Estate","Annual subscription","11/30/2020","Single Site, 3 Site, 10 Sitee","12 months","Support ticket, Documentation","3","Latest","Easy Property Listing  Plugin Features, reviews and Pricing | Appsfomo","","Easy Property Listing Review"
"3047","WordPress Live Chat Plugin","Screets","external","3047","0","1368","Visitors Extentions","3 Addons","Screets","Easy","Screets","2 Dyas ago","GPL","Codecanyon","Live- Chat","One-time payment","11/30/2020","Single site, Unlimited site","6 months","Support tickets, FAQ, Live chat","5","Latest","WordPress Live Chat Plugin  Plugin Features, reviews and Pricing | Appsfomo","","WordPress Live Chat Plugin Review"
"3049","WP Flat Visual Chat","Loopus","external","3049","0","10723","Visual Chat","None","Loopus","Easy","Loopus","3 Weeks ago","GPL","Codecanyon","Live- Chat","One-time payment","11/30/2020","Single Site","6 months","FAQ, Live Chat","1","Latest","WP Flat Visual Chat  Plugin Features, reviews and Pricing | Appsfomo","","WP Flat Visual Chat Review"
"3051","Templatera","WPbakery","external","3051","0","14872","None","None","WPbkery","Easy","Michael M","7 Months ago","GPL","Codecanyon","Visual Composer","Annual subscription","11/30/2020","Single Site","6 months","FAQ, Live Chat, Forum","1","Latest","Templatera  Plugin Features, reviews and Pricing | Appsfomo","","Templatera Review"
"3053","Interactive World Maps","Interactive World Maps","external","3053","0","3696","None","None","Interactive World Maps","Easy","Cmoreira","7 Months ago","GPL","Codecanyon","Visual Composer","Annual subscription","11/30/2020","Single site","6 months","FAQ, Live Chat","1","Latest","Interactive World Maps  Plugin Features, reviews and Pricing | Appsfomo","","Interactive World Maps Review"
"3055","WooCommerce Single Product Page Builder","SiteSao","external","3055","0","7288","Woocommerce ","Default","SiteSao","Easy","SiteSao","3 Weeks ago","GPL","Codecanyon","Visual Composer","Annual subscription","11/30/2020","Single site","6 months","FAQ, Live Chat","3","Latest","WooCommerce Single Product Page Builder  Plugin Features, reviews and Pricing | Appsfomo","","WooCommerce Single Product Page Builder Review"
"3057","Visual Composer Clipboard","WPbakery","external","3057","0","65632","None","None","Wpbkery","Easy","Michael M","3 Weeks ago","GPL","Codecanyon","Visual Composer","One-time payment","11/30/2020","Single site","6 months","FAQ, Live Chat","5","Latest","Visual Composer Clipboard  Plugin Features, reviews and Pricing | Appsfomo","","Visual Composer Clipboard Review"
"3059","Ultimate Addons for Visual Composer","Brainstorm Force","external","3059","0","17666","None","None","Brainstorm Force","Easy","Sujay Pawar","3 Weeks ago","GPL","Codecanyon","Visual Composer","One-time payment","11/30/200","Single site","6 months","FAQ, Live Chat","5","Latest","Ultimate Addons for Visual Composer  Plugin Features, reviews and Pricing | Appsfomo","","Ultimate Addons for Visual Composer Review"
"3061","Visual Composer Extensions Addon","Wpbakery","external","3061","0","1628","None","None","Wpbkery","Easy","Sike","7 Months ago","GPL","Codecanyon","Visual Composer","One-time payment","11/30/020","Single site","6 months","FAQ, Documentation","3","Latest","Visual Composer Extensions Addon  Plugin Features, reviews and Pricing | Appsfomo","","Visual Composer Extensions Addon Review"
"3063","4k Icon Fonts for Visual Composer","Wpbakery","external","3063","0","1235","None","None","Wpbkery","Easy","Bfintal","5 Months","GPL","Codecanyon","Visual Composer","Annual subscription","11/30/2020","Single Site","6 months","FAQ, Documentation","5","Latest","4k Icon Fonts for Visual Composer  Plugin Features, reviews and Pricing | Appsfomo","","4k Icon Fonts for Visual Composer Review"
"3065","Ultimate Tweaker","Amino-Studio","external","3065","0","8978","Fire wall Extention","2 Addons","Amino-Studio","Moderate","Amino-Studio","4 Months ago","GPL","Codecanyon","Security ","Annual subscription","11/30/2020","Single site","6 months","Support Tickets, Documentation, Live chat","7","Latest","Ultimate Tweaker  Plugin Features, reviews and Pricing | Appsfomo","","Ultimate Tweaker Review"
"3071","Visual Composer Extensions Addon All in One","Wpbakery","external","3071","0","7202","Woocommerce ","None","wpbkery","Easy","Tekanewa","3 Months ago","GPL","Codecanyon","Visual Composer","One-time payment","11/30/2020","Single site","6 months","Support Tickets, Documentation, Live chat","5","Latest","Visual Composer Extensions Addon All in One  Plugin Features, reviews and Pricing | Appsfomo","","Visual Composer Extensions Addon All in One Review"
"3073","Easy Tables","Wpbakery","external","3073","0","11835","None","None","wpbkery","Easy","Michael M","10 Months ago","GPL","Codecanyon","Table","One-time payment","11/30/020","Single site","6 months","Support ticket, Documentation","5","Latest","Easy Tables  Plugin Features, reviews and Pricing | Appsfomo","","Easy Tables Review"
"3077","Massive Addons for Visual Composer","Wpbakery","external","3077","0","3413","Video Extention","None","Wpbkery","Advanced","Mpc","4 Months ago","GPL","Codecanyon","Visual Composer","One-time payment","11/30/2020","Single site","6 months","Support ticket, Documentation","5","Latest","Massive Addons for Visual Composer  Plugin Features, reviews and Pricing | Appsfomo","","Massive Addons for Visual Composer Review"
"3079","DHVC form","Wpbakery","external","3079","0","2907","None","None","Wpbkery","Easy","SiteSao","2 week ago","GPL","Codecanyon","Form Builder","One-time payment","11/30/2020","Single site","6 months","Support ticket, Documentation","5","Latest","DHVC form  Plugin Features, reviews and Pricing | Appsfomo","","DHVC form Review"
"3081","Woocommerce Products Layouts","Wpbakery","external","3081","0","240","None","None","Wpbkery","Easy","SiteSao","3 days ago","GPL","Codecanyon","Visual Composer","One-time payment","11/30/2020","Single Site","6 months","Support ticket, Documentation","1","Latest","Woocommerce Products Layouts  Plugin Features, reviews and Pricing | Appsfomo","","Woocommerce Products Layouts Review"
"3085","Anti-spam Pro","WebVitalii","external","3085","0","1M+","None","None","WebVitalii","Advanced","WebVitalii","7 Months ago","GPL","Codecanyon","Spam Plugin","One-time payment","11/30/2020","Single Sitre","6 months","FAQ, Documentation","1","Latest","Anti-spam Pro  Plugin Features, reviews and Pricing | Appsfomo","","Anti-spam Pro Review"
"3087","W3 Total Cache","BoldGrid","external","3087","0","1.9M +","SEO","2 Addons","BoldGrid","Easy","Todd Robinson","3 Weeks ago","GPL","Codecanyon","Caching Plugin","Free, One-time Payment","11/30/2020","Single site","12 months","FAQ, Documentation, Support Tickets","11","Latest","W3 Total Cache  Plugin Features, reviews and Pricing | Appsfomo","","W3 Total Cache Review"
"3091","Comet Cache","WebSharks","external","3091","0","600000","None","2 Addons","WebSharks","Advanced","Siddhant Singh Rajput","3 Weeks ago","GPL","Own Site","Caching Plugin","One-time payment","12/1/2020","SingleSite, 3 Site, Unlimited Sites","12 months","FAQ, Article, Live Chat","5","Latest","Comet Cache  Plugin Features, reviews and Pricing | Appsfomo","","Comet Cache Review"
"3095","Anti-spam Bee","Pluginkollektiv","external","3095","0","100000","None","None","Pluginkollektiv","Easy","Sergej Müller","3 Weeks ago","GPL","Own Site","Security ","Free","12/1/2020","Single Site","Community-Free","Fourm","17","Latest","Anti-spam Bee  Plugin Features, reviews and Pricing | Appsfomo","","Anti-spam Bee Review"
"3099","CleanTalk","СleanTalk","external","3099","0","30000","Mobile App","None","СleanTalk","Easy","DigiSavvy","2 Weeks ago","GPL","Own site","Security ","Annual subscription","12/1/2020","Single site","12 months","FAQ, Documentation, Support Tickets","5","Latest","CleanTalk  Plugin Features, reviews and Pricing | Appsfomo","","CleanTalk Review"
"3101","WPBruiser","WPBruiser","external","3101","0","100000","Theme Extention","None","WPBruiser","Easy","Mihai Chelaru","2 Month ago","GPL","Own site","Security ","Free , Paid extentions","12/1/2020","Single Site","Community-Free","FAQ, Documentation, Support Tickets","1","Latest","WPBruiser  Plugin Features, reviews and Pricing | Appsfomo","","WPBruiser Review"
"3103","WP Cerber","Cerber Tech Inc.","external","3103","0","905","None","None","Cerber Tech Inc.","Easy"," Gregory Markov","3 Weeks ago","GPL","Own Site","Security ","Annual subscription","12/1/2020","Single site, 5 Sites","Life time","FAQ, Fourm","10","Latest","WP Cerber  Plugin Features, reviews and Pricing | Appsfomo","","WP Cerber Review"
"3105","WordPress, BuddyPress Users Chat Plugin","Mircode","external","3105","0","30565","None","None","Mircode","Easy","Mircode","2 weeks ago","GPL","Own Site","Live- Chat","One-time payment","12/1/2020","Single Site","6 months","FAQ, Documentation","5","Latest","WordPress, BuddyPress Users Chat Plugin  Plugin Features, reviews and Pricing | Appsfomo","","WordPress, BuddyPress Users Chat Plugin Review"
"3107","WooCommerce Amazon Affiliates","AA-Team","external","3107","0","18934","WZone ","None","AA-Team","Easy","AA-Team","1 Month ago ","GPL","Codecanyon","Affiliate","One-time payment","12/1/2020","Single Site","6 months","FAQ, Fourm","5","Latest","WooCommerce Amazon Affiliates  Plugin Features, reviews and Pricing | Appsfomo","","WooCommerce Amazon Affiliates Review"
"3109","Table Rate Shipping","Bolderelements","external","3109","0","10711","None","None","Bolderelements","Moderate","Bolderelements","8 Months ago","GPL","Codecanyon","Woocommerce","One-time payment","12/1/2020","Single Site","6 months","FAQ, Documentation","1","Latest","Table Rate Shipping  Plugin Features, reviews and Pricing | Appsfomo","","Table Rate Shipping Review"
"3111","Woof","Realmag777","external","3111","0","26003","None","None","Realmag777","Easy","Realmag777","1 Month ago ","GPL","Codecanyon","Woocommerce","One-time payment","12/1/2020","Single Site","6 months","FAQ, Live Chat","3","Latest","Woof  Plugin Features, reviews and Pricing | Appsfomo","","Woof Review"
"3113","WooCommerce Extra Product Options","Themecomplete","external","3113","0","18723","None","None","Themecomplete
","Easy","Themecomplete
","1 Month ago ","GPL","Codecanyon","Woocommerce","One-time payment","12/1/2020","Single Site","6 months","FAQ, Live Chat, Documentation","3","Latest","WooCommerce Extra Product Options  Plugin Features, reviews and Pricing | Appsfomo","","WooCommerce Extra Product Options Review"
"3117","WooCommerce Dynamic Pricing and Discounts","RightPress","external","3117","0","28053","None","None","RightPress","Easy","Michael Walrath","5 Months ago","GPL","Codecanyon","Woocommerce","One-time payment","12/1/2020","Single Site","6 months","FAQ, Live Chat, Documentation","3","Latest","WooCommerce Dynamic Pricing and Discounts  Plugin Features, reviews and Pricing | Appsfomo","","WooCommerce Dynamic Pricing and Discounts Review"
"3119","Hide My WP","wpWave","external","3119","0","5523","None","None","wpWave","Moderate","Hassan Jahan","3 Weeks ago","GPL","Codecanyon","Security ","One-time payment","12/1/2020","Single Site","6 months","FAQ, Live Chat, Documentation","10","Latest","Hide My WP  Plugin Features, reviews and Pricing | Appsfomo","","Hide My WP Review"
"3121","Testimonials Showcase","Testimonials Showcase","external","3121","0","5870","None","None","Testimonials Showcase","Advanced","Cmoreira","6 Months ago","GPL","Codecanyon"," Review Plugin","One-time payment","12/2/2020","Single Site","6 months","FAQ, Live Chat, Documentation","3","Latest","Testimonials Showcase  Plugin Features, reviews and Pricing | Appsfomo","","Testimonials Showcase Review"
"3123","Reviewer","Reviewer","external","3123","0","1000+","None","None","Reviewer","Advanced","evoG","4 Months ago","GPL","Codecanyon"," Review Plugin","One-time payment","12/2/2020","Single Site","6 months","FAQ, Live Chat, Documentation","5","Latest","Reviewer  Plugin Features, reviews and Pricing | Appsfomo","","Reviewer Review"
"3125","Let's Review","Codetipi","external","3125","0","2000+","None","None","Codetipi","Advanced","Chris Bell","3 Months ago","GPL","Codecanyon","Widgets","One-time payment","12/1/2020","Single Site","6 months","Support ticket, Documentation","5","Latest","Let's Review  Plugin Features, reviews and Pricing | Appsfomo","","Let's Review Review"
"3127","Taqyeem"," TieLabs ","external","3127","0","10000","None","None","Fouad Badawy","Moderate","Fouad Badawy","2 Months ago","GPL","Codecanyon","Widgets","One-time payment","12/1/2020","Single Site","6 months","Support ticket, Documentation","5","Latest","Taqyeem  Plugin Features, reviews and Pricing | Appsfomo","","Taqyeem Review"
"3129","Rating Form","SerdarG","external","3129","0","100000","None","None","SerdarG","Easy","SerdarG","1 Year Ago","GPL","Codecanyon","Widgets","One-time payment","12/1/2020","Single Site","6 months","Support ticket","<5","5.4.x","Rating Form  Plugin Features, reviews and Pricing | Appsfomo","","Rating Form Review"
"3131","Sidebar Widget Manager","OTW themes","external","3131","0","1000000","None","None","OTW themes","Moderate","-","2 Months ago","GPL","Codecanyon","Widgets","One-time payment","12/2/2020","Single Site","6 months","Support ticket","10+","Latest","Sidebar Widget Manager  Plugin Features, reviews and Pricing | Appsfomo","","Sidebar Widget Manager Review"
"3135","Widget Ninja","Web Factory","external","3135","0","200000","None","None","Web Factory","Moderate","Gordan Orlic","2 Years Ago","GPL","Codecanyon","Widgets","One-time payment","12/1/2020","Single Site","6 months","Support ticket","10+","5.4.x","Widget Ninja  Plugin Features, reviews and Pricing | Appsfomo","","Widget Ninja Review"
"3137","Popping Sidebars and Widgets","OTW themes","external","3137","0","100000","None","None","OTW themes","Advanced","-","3 Years Ago","GPL","Codecanyon","Widgets","One-time payment","12/2/2020","Single Site","6 months","Support ticket","10+","5.4.x","Popping Sidebars and Widgets  Plugin Features, reviews and Pricing | Appsfomo","","Popping Sidebars and Widgets Review"
"3139","5sec Google Maps Pro","Web Factory","external","3139","0","100000","None","None","Web Factory","Easy","Gordan Orlic","4 Months ago","GPL","Codecanyon","Widgets","One-time payment","12/3/2020","Single Site","6 months","Support ticket","10+","Latest","5sec Google Maps Pro  Plugin Features, reviews and Pricing | Appsfomo","","5sec Google Maps Pro Review"
"3143","Hero Maps Premium","Hero Plugins","external","3143","0","100000","None","None","Hero Plugins","Advanced","-","2 Months ago","GPL","Codecanyon","Widgets","One-time payment","12/1/2020","Single Site","6 months","Support ticket","5+","Latest","Hero Maps Premium  Plugin Features, reviews and Pricing | Appsfomo","","Hero Maps Premium Review"
"3145","Interactive World Maps","Carlos Moreira","external","3145","0","100000","None","None","Carlos Moreira","Moderate","Carlos Moreira","6 Months ago","GPL","Codecanyon","Widgets","One-time payment","12/2/2020","Single Site","6 months","Support ticket","<5","Latest","Interactive World Maps  Plugin Features, reviews and Pricing | Appsfomo","","Interactive World Maps Review"
"3147","UberMenu","Themeco","external","3147","0","10000","None","None","Themeco","Moderate","Scott Marlow","2 Months ago","GPL","Codecanyon","Menu","One-time payment","12/3/2020","Single Site","6 months","Support ticket","10+","Latest","UberMenu  Plugin Features, reviews and Pricing | Appsfomo","","UberMenu Review"
"3149","Hero Menu","Hero Plugins","external","3149","0","1000000","None","None","Hero Plugins","Moderate","-","4 Months ago","GPL","Codecanyon","Menu","One-time payment","12/4/2020","Single Site","6 months","Support ticket","5+","Latest","Hero Menu  Plugin Features, reviews and Pricing | Appsfomo","","Hero Menu Review"
"3151","Ajax Translator Revolution","Sur Studio","external","3151","0","200000","None","None","Sur Studio","Advanced","Sur Studio","1 Months ago","GPL","Codecanyon","Translation","One-time payment","12/1/2020","Single Site","6 months","Support ticket","5+","Latest","Ajax Translator Revolution  Plugin Features, reviews and Pricing | Appsfomo","","Ajax Translator Revolution Review"
"3173","Smart Image Compressor","Shall","external","3173","0","4268","None","None","Shall","Moderate","Shall","4 Years ago","GPL","Codecanyon","Optimization","One-time payment","12/2/2020","Single Site","6 months","No Support","1","Latest","Smart Image Compressor  Plugin Features, reviews and Pricing | Appsfomo","","Smart Image Compressor Review"
"3155","The Grid","Theme-one","external","3155","0","5353","None","None","Theme-one","Easy","-","3 Months ago","GPL","Codecanyon","Page Builder","One-time payment","12/3/2020","Single Site","6 months","Support ticket","10+","Latest","The Grid  Plugin Features, reviews and Pricing | Appsfomo","","The Grid Review"
"3157","Instagram Feed","Elfsight","external","3157","0","909","None","None","Elfsight","Moderate","Andrey Yusupov","4 Months ago","GPL","Codecanyon","Widget","One-time payment","12/1/2020","Single Site","6 months","Support ticket","10+","Latest","Instagram Feed  Plugin Features, reviews and Pricing | Appsfomo","","Instagram Feed Review"
"3159","Elite Video Player","Creative Media","external","3159","0","7021","None","None","Creative Media","Easy","-","1 Months ago","GPL","Codecanyon","Widget","One-time payment","12/2/2020","Single Site","6 months","Support ticket","5","Latest","Elite Video Player  Plugin Features, reviews and Pricing | Appsfomo","","Elite Video Player Review"
"3161","Wordpress Automatic Plugin","ValvePress","external","3161","0","30000+","None","None","ValvePress","Moderate","ValvePress","2 Months ago","GPL","Codecanyon","Automation","One-time payment","12/3/2020","Single Site","6 months","Support ticket","10+","Latest","Wordpress Automatic Plugin  Plugin Features, reviews and Pricing | Appsfomo","","Wordpress Automatic Plugin Review"
"3163","Scrapes","Octolooks","external","3163","0","10000+","None","None","Octolooks","Easy","Octolooks","1 Months ago","GPL","Codecanyon","Automation","One-time payment","12/1/2020","Single Site, Multisite","Lifetime","Support ticket","10+","Latest","Scrapes  Plugin Features, reviews and Pricing | Appsfomo","","Scrapes Review"
"3165","Responsive flipbook","MPC Themes","external","3165","0","15000+","None","None","MPC Themes","Easy","-","2 Months ago","GPL","Codecanyon","Widget","One-time payment","12/2/2020","Single Site","6 months","Support ticket","5+","Latest","Responsive flipbook  Plugin Features, reviews and Pricing | Appsfomo","","Responsive flipbook Review"
