Title,Sku,ID,Post Type,Product Type,Parent Product ID,Sale Price,Featured Image,Regular Price ($),Price Suffix,Product categories,Brand,rank_math_seo_score,Permalink,External URL,Button Text,Date,Type,Review Date,Author,Company Name,Country,Marketplace,Free Version,Initial Release,Other products,Active Installations,Wp.org Ratings,Product Type,Free Extensions,Premium Extensions,Multi lang support,Pricing options,Past LTD,Money-Back Guarantee,Appsfomo Ratings,Support System,Site Usage,Documentation,Competitor,Affiliate Program
Scrapes https://octolooks.com/wordpress-auto-post-and-crawler-plugin-scrapes/,,3163,product,external,0,,Done,35, Onetime,Wordpress Plugins>Miscellaneous,Octolooks,,https://appsfomo.com/reviews/scrapes/,https://codecanyon.net/item/scrapes-web-scraper-plugin-for-wordpress/18918857?ref=Interstellar,Buy Now,3/7/2020,Scraper plugin,March 2023,N/A,Octolooks,Turkey,Own Site,Not Available,2008,None,10k +,,,None,1 Pro Addon,Yes,One-time Payment,No,14 Days,,"Support Ticket,Live Chat",1 Site,Good,WP Scraper,No
Ajax Search Pro,,3167,product,external,0,,Done,39, Onetime,Wordpress Plugins>Miscellaneous,WPDreams,,https://appsfomo.com/reviews/ajax-search-pro/,https://codecanyon.net/item/ajax-search-pro-for-wordpress-live-search-plugin/3357410,Buy Now,31-07-2020,Search and Filter,March 2023, Ernest Marcinko,WPDreams,N/A,Codecanyon,Available on WP.org ,2012,None,50k +,4.5,,3+ Free Addons,1 Pro Addon,Yes,One-time Payment,No,7 Days,,Support Ticket,1 Site,Good,Ajax Search,No
WP Data Tables,,3177,product,external,0,,Done,299, Onetime,Wordpress Plugins>Page Builder,tms plugins,12,https://appsfomo.com/reviews/wp-data-tables/,https://1.envato.market/RyOdJa,Buy Now,25-07-2020,Tables and Charts,March 2023,Alexander Gilmanov,tms-plugins,Belgrade,Codecanyon,Available on WP.org ,2013,Amelia,50k +,4.5,,None,1 Pro Addon,Yes,"Yearly,One-time Payment",Yes,14 Days,,Support Ticket,"1 Site,3+ Sites,Unlimited Sites",Excellent,WP jQuery DataTable,Yes
Content Egg,,3183,product,external,0,,Done,55, Onetime,Wordpress Plugins>Affiliate,Keyword Rush,13,https://appsfomo.com/reviews/content-egg/,https://1.envato.market/4ern6M,Buy Now,2/8/2020,Website builder,March 2023,N/A,Keyword Rush,N/A,Codecanyon,Available on WP.org ,2016,"Affiliate Egg, External importer, Cashback tracker",50k +,4,,None,2 Pro Addons,Yes,One-time Payment,No,14 Days,,Email,1 Site,Basic,Affiliate egg,No
WordPress Real Media Library,,3195,product,external,0,,Done,39, Onetime,Wordpress Plugins>Miscellaneous,devowl.io,61,https://appsfomo.com/reviews/wordpress-real-media-library/,https://codecanyon.net/item/wordpress-real-media-library-media-categories-folders/13155134,Buy Now,1/8/2020,Media Management,March 2023,"Matthias Gunter, Jan Karres",devowl.io ,Germany,Codecanyon,Available on WP.org ,2015,"Real Cookie banner, Real Physical media",100k +,4.5,,None,1 Pro Addon,,One-time Payment,No,N/A,,Support Ticket,"1 Site,3+ Sites,5+ Sites,10+ Sites,20+ Sites",Good,FileBird,Yes
Yellow Pencil,,3197,product,external,0,,Done,26, Onetime,Wordpress Plugins>Page Builder,Wasp Themes,11,https://appsfomo.com/reviews/yellow-pencil/,https://codecanyon.net/item/yellow-pencil-visual-css-style-editor/11322180,Buy Now,18-07-2020,Visual CSS Style Editor,March 2023,N/A,Wasp Themes,N/A,Codecanyon,Available on Own Site,2013,None,10k +,,,None,3+ Pro Addons,,One-time Payment,No,30 Days,,Support Ticket,1 Site,Good,"Elementor, Beaver Builder, Brizy",No
Mailster,,3207,product,external,0,,Done,89, Onetime,Wordpress Plugins>Social Network &amp; Translation,EverPress,11,https://appsfomo.com/reviews/mailster/,https://codecanyon.net/item/mailster-email-newsletter-plugin-for-wordpress/3078294?ref=Interstellar,Buy Now,6/7/2020,Email newsletter Plugin,March 2023,Xaver Birsak,EverPress,Germany,Codecanyon,Available on WP.org ,2010,None,10k +,5,,None,None,,"Yearly,One-time Payment",No,14 Days,,"Email,Support Ticket","1 Site,3+ Sites,10+ Sites",Good,"Mailpoet,Mailchimp",No
Yoast SEO,,3583,product,external,0,,Done,99,/Year,Wordpress Plugins>SEO Plugin,Yoast BV,15,https://appsfomo.com/reviews/yoast-seo/,https://yoast.com/wordpress/plugins/seo/,Buy Now,3/9/2020,SEO Plugin,March 2023,Joost de Valk,Yoast SEO,Netherland,Own Site,Available on WP.org ,2010,"Yoast Woocommerce SEO, Yoast SEO for Drupal",5M +,5,,10+ Free Addons,1 Pro Addon,,Yearly,No,30 Days,,"Email,Support Ticket",1 Site,Good,"SEOpress, Rankmath,Squirrly,All in one SEO",No
BetterDocs,,8340,product,external,0,,Done,55,/Year,Wordpress Plugins>Documentation,WPDeveloper,,https://appsfomo.com/reviews/betterdocs/,https://betterdocs.co/,Buy Now,6/1/2021,Documentaion and Knowledgebase plugin,March 2023,M Asif Rahman,WPDeveloper,Bangladesh,Own Site,Available on WP.org ,2011,"NotificationX, Templately, Essential addons",5M +,5,,None,1 Pro Addon,,"Yearly,One-time Payment",Yes,14 Days,,"Email,Support Ticket,Live Chat","1 Site,Unlimited Sites",Excellent,Documentor,Yes
SEOPress,,9530,product,external,0,,Done,49,/Year,Wordpress Plugins>SEO Plugin,SEO Press,,https://appsfomo.com/reviews/seopress/,https://www.seopress.org/pricing/ref/452/,Buy Now,21-01-2021,SEO Plugin,March 2023,Benjamin Denis,SEOPress,France,Own Site,Available on WP.org ,2017,SEOPress for MainWP add-on,2M +,5,,None,1 Pro Addon,,Yearly,No,14 Days,,"Email,Support Ticket,Live Chat","1 Site,Unlimited Sites",Good,"Yoast SEO, Rankmath,Squirrly,All in one SEO",Yes
Elementor Pro,,9862,product,external,0,,Done,59,/Year,Wordpress Plugins>Page Builder,Elementor Ltd,,https://appsfomo.com/reviews/elementor-pro/,https://elementor.com/pro/,Buy Now,1/3/2021,Website Builder,March 2023,Yoni Luksenberg & Ariel Klikstein ,Elementor Ltd," Ramat Gan, Israel",Own Site,Available on WP.org ,2016,"Elementor Pagebuilder,Elementor WP Hosting",5M +,5,,20+ Free Addons,20+ Pro Addons,,Yearly,Yes,30 Days,,"Email,Support Ticket,Live Chat","1 Site,3+ Sites,20+ Sites,100+ Sites",Excellent,"Beaver Builder, Brizy",Yes
LearnDash,,9880,product,external,0,,Done,49,/Year,Wordpress Plugins>LMS,Stellar WP,,https://appsfomo.com/reviews/learndash/,https://www.learndash.com/pricing-and-purchase/,Buy Now,3/3/2021,LMS Plugin,March 2023,Israel Barragan,Stellar WP,USA,Own Site,Not Available,2013,Restrict Content Pro,2M +,,,20+ Free Addons,20+ Pro Addons,,"Monthly,Yearly",Yes,N/A,,"Email,Support Ticket,Live Chat","1 Site,10+ Sites,Unlimited Sites",Good,Learnpress,Yes
Caldera Forms,,9895,product,external,0,,Todo,49,,Wordpress Plugins>Forms &amp; Popups,Caldera Labs,,https://appsfomo.com/reviews/caldera-forms/,https://calderaforms.com/pricing/,Buy Now,3/3/2021,Form Builder,March 2023,,,,Own Site,,,,"2,00,000",,,5+ Free Addons,5+ Pro Addons,,Annual subscription,,,,Support tickets,Unlimited,,"Fluent Forms,WP Forms",
Shortpixel,,9936,product,external,0,,Done,8.25,/Month,Wordpress Plugins,ShortPixel,84,https://appsfomo.com/reviews/shortpixel/,https://shortpixel.com/pricing,Buy Now,3/2/2021,Image Optimizer,March 2023,Alex Florescu,ShortPixel,Romania.,Own Site,Available on WP.org ,2014,"Adaptive Images WP Plugin, Command Line Tool",2M +,4.5,,None,3+ Pro Addons,,"Monthly,Yearly,One-time Payment",Yes,N/A,,"Email,Support Ticket,Live Chat","1 Site,5+ Sites,10+ Sites",Good,EWW Image Optimizer,Yes
WP Fluent Forms,,10007,product,external,0,,Done,41,/Year,Wordpress Plugins>Forms &amp; Popups,WpManageNinja,78,https://appsfomo.com/reviews/fluent-forms/,https://fluentforms.com/pricing/,Buy Now,5/2/2021,Form Builder,March 2023,Shahjahan Jewel,WpManageNinja,USA,Own Site,Available on WP.org ,2015,"FluentCRM, Ninja Tables, Fluent Support",100k +,5,,3+ Free Addons,3+ Pro Addons,,"Yearly,One-time Payment",Yes,14 Days,,"Email,Support Ticket,Live Chat","1 Site,5+ Sites,Unlimited Sites",Good,"Caldera Forms,WP Forms",Yes
WP Security Ninja,,10082,product,external,0,,Done,6.99,/Month,Wordpress Plugins>Security Plugin,WP Security Ninja,33,https://appsfomo.com/reviews/wp-security-ninja/,https://wpsecurityninja.com/#pricing,Buy Now,27-02-2021,Security plugin,March 2023,Lars Koudal,WP Security Ninja,USA,Own Site,Available on WP.org ,2011,Google Maps Widget,10k +,5,,None,1 Pro Addon,,"Monthly,Yearly",Yes,30 Days,,Support Ticket,"1 Site,3+ Sites,5+ Sites,10+ Sites,50+ Sites,100+ Sites",Good,"iThemes Security, Wordfence, WP Cerber",Yes
All-in-One WP Migration,,10114,product,external,0,,Done,99, Onetime,Wordpress Plugins>Security Plugin,ServMask,70,https://appsfomo.com/reviews/all-in-one-wp-migration/,https://import.wp-migration.com/,Buy Now,18-02-2021,WP Migration,March 2023,Yani Iliev,ServMask,USA,Own Site,Available on WP.org ,2013,None,5M +,4.5,,5+ Free Addons,10+ Pro Addons,Yes,One-time Payment,No,N/A,,Email,1 Site,Good,"Updraftplus,WPvivd Backups,Backupsheep",No
Amelia,,10281,product,external,0,,Done,80,/Year,Wordpress Plugins>Calendar,TMS,16,https://appsfomo.com/reviews/amelia-wordpress-appointment-booking-plugin/,https://wpamelia.com/pricing/,Buy Now,9/3/2021,Booking Plugin,March 2023,Alexander Gilmanov,TMS,Serbia,Own Site,Available on WP.org ,2014,WP Data Tables,50k +,4.5,,None,1 Pro Addon,,"Yearly,One-time Payment",Yes,14 Days,,"Support Ticket,Live Chat","1 Site,3+ Sites,Unlimited Sites",Good,"SimplyBook, Calendly, Yith Booking",Yes
Advanced Custom Fields,,10284,product,external,0,,Done,49,/Year,Wordpress Plugins>Miscellaneous,WP Engine,28,https://appsfomo.com/reviews/advanced-custom-fields/,https://www.advancedcustomfields.com/pro/,Buy Now,19-03-2021,Custom feilds plugin,March 2023,Elliot Condon,WP Engine,Texas,Own Site,Available on WP.org ,2010,"WP Migrate, WP Offload Media, WP Offload SES",2M +,5,,10+ Free Addons,20+ Pro Addons,,Yearly,No,N/A,,"Email,Support Ticket,Live Chat","1 Site,10+ Sites,Unlimited Sites",Excellent,"Jet Engine, Metabox",Yes
WP Reset,,11694,product,external,0,,Done,39,/Year,Wordpress Plugins,WebFactory LTD,84,https://appsfomo.com/reviews/wp-reset/,https://wpreset.com/,Buy Now,8/4/2021,Reset Plugin,March 2023,Susan Brown,WebFactory LTD,Europe,Own Site,Available on WP.org ,2017,"301 Redirects Plugin, Envato Elements,",100k +,5,,None,1 Pro Addon,,"Yearly,One-time Payment",No,7 Days,,Support Ticket,"1 Site,5+ Sites,100+ Sites",Good,Advanced Wordpress Reset,No
Loginpress,,13698,product,external,0,,Done,49,/Year,Wordpress Plugins>Forms &amp; Popups,WPBrigade,68,https://appsfomo.com/reviews/loginpress/,https://loginpress.pro/pricing/,Buy Now,13-05-2021,Login Plugin,March 2023,Adnan,WPBrigade,India,Own Site,Available on WP.org ,2012,Analytify,100k +,5,,3+ Free Addons,1 Pro Addon,,Yearly,Yes,14 Days,,"Email,Live Chat","1 Site,5+ Sites,50+ Sites",Good,"Custom Login Page Customizer, Nextend Social Login, WPS Hide Login",Yes
Essential Addons for Elementor,,15862,product,external,0,,Done,39.97,/Year,Wordpress Plugins>Page Builder,WPDeveloper,,https://appsfomo.com/reviews/essential-addons-for-elementor/,https://essential-addons.com/elementor/#pricing,Buy Now,15-06-2021,Addons,March 2023,M Asif Rahman,WPDeveloper,Bangladesh,Own Site,Available on WP.org ,2011,"NotificationX, Templately, Essential addons",1M +,5,,3+ Free Addons,1 Pro Addon,,"Yearly,One-time Payment",Yes,14 Days,,"Email,Support Ticket,Live Chat","1 Site,Unlimited Sites",Excellent,"Ultimate Addons for Elementor, Crocoblock, Elementskit",Yes
Cartflows,,16794,product,external,0,239,Done,79,/Year,Wordpress Plugins>E-commerce,Cartflows Inc,20,https://appsfomo.com/reviews/cartflows/,https://cartflows.com/,Buy Now,7/7/2021,Sales Funnel Builder,March 2023,Adam Preiser,Cartflows Inc,USA,Own Site,Available on WP.org ,2018,None,100k +,5,,2 Free Addons,2 Pro Addons,,Yearly,No,14 Days,,"Email,Support Ticket","1 Site,10+ Sites,20+ Sites",Good,Woofunnels,Yes
Mailpoet,,18134,product,external,0,,Done,10,/Month,Wordpress Plugins,Mailpoet,22,https://appsfomo.com/reviews/mailpoet/,https://www.mailpoet.com/,Buy Now,21-09-2021,emails and newsletters,March 2023,Tautvidas,Mailpoet,France,Own Site,Available on WP.org ,2011,None,100k +,4.5,,5+ Free Addons,1 Pro Addon,,"Monthly,Yearly",Yes,N/A,,Support Ticket,"50+ Sites,Unlimited Sites",Good,"Mailchimp,Mailster",Yes
Autoptimize,,18590,product,external,0,,Done,Free,,Wordpress Plugins>Wordpress Optimization,Optimizing Matters,,https://appsfomo.com/reviews/autoptimize/,https://wordpress.org/plugins/autoptimize/,Buy Now,11/10/2021,Web Optimization,March 2023,Frank Goossens,Optimizing Matters,Belgium,Own Site,Available on WP.org ,2013,None,1M +,4.5,,None,None,,Free,No,N/A,,Forum,Unlimited Sites,Basic,"WP Rocket, Swift Performance, WP Super Cache, W3 Total Cache",No
WPvivid Backup,,19614,product,external,0,,Done,29,/Year,Wordpress Plugins>Security Plugin,WPvivid Backup,23,https://appsfomo.com/reviews/wpvivid-backup/,https://wpvivid.com/,Buy Now,28-01-2022,Backup & Migration Plugin,March 2023,N/A,WPvivid Backup,N/A,Own Site,Available on WP.org ,2018,None,100k +,5,,None,3+ Pro Addons,,"Yearly,One-time Payment",Yes,30 Days,,"Email,Support Ticket","10+ Sites,50+ Sites,Unlimited Sites",Good,"Updraftplus,All in One WP Migration,Backupsheep",Yes
WPSmartPay,,21454,product,external,0,,Done,99,/Year,Wordpress Plugins,ThemeXpert,,https://appsfomo.com/reviews/wpsmartpay/,https://wpsmartpay.com/,Buy Now,12/9/2022,Ecommerce Store and Payment gateway,March 2023,Parvez Akther,ThemeXpert,Bangladesh,Own Site,Available on WP.org ,2020,"Joomla Templates, Notifly",1k +,5,,None,None,,Yearly,Yes,14 Days,,"Email,Support Ticket,Live Chat","1 Site,5+ Sites,Unlimited Sites",Good,Woocommrce Payments,Yes
Bit Integrations,,22491,product,external,0,,Done,19,/Year,Wordpress Plugins>Security Plugin,Bit Apps,93,https://appsfomo.com/reviews/bit-integrations/,https://www.bitapps.pro/bit-integrations,Buy Now,11/11/2022,Integration plugin,March 2023,Abdul Kaioum,Bit Apps,Bangladesh,Own Site,Available on WP.org ,2015,"Bit Assist, Bit SMTP",1k +,5,,1 Free Addon,1 Pro Addon,,Yearly,Yes,30 Days,,"Email,Support Ticket,Live Chat","1 Site,100+ Sites",Good,Uncanny Automator,Yes
WP Force SSL,,22654,product,external,0,,Done,59, Onetime,Wordpress Plugins>Security Plugin,WebFactory LTD,93,https://appsfomo.com/reviews/wp-force-ssl/,https://wpforcessl.com/,Buy Now,28-11-2022,SSL Fix,March 2023,Gordan Orlic,WebFactory LTD,Europe,Own Site,Available on WP.org ,2022,"WP Reset, WP Sticky",100k +,5,,None,1 Pro Addon,,One-time Payment,Yes,7 Days,,"Email,Support Ticket,Live Chat","1 Site,5+ Sites,100+ Sites",Good,Really Simple SSL,No
Rank Math,,23323,product,external,0,,Done,59,/Year,Wordpress Plugins>SEO Plugin,Rank Math,93,https://appsfomo.com/?post_type=product&p=23323,https://rankmath.com/,Buy Now,1/1/1970,SEO Plugin,March 2023,Bhanu Ahluwalia,RankMath,India,Own Site,Available on WP.org ,2020,None,1M +,5,,3+ Free Addons,1 Pro Addon,,Yearly,Yes,30 Days,9,"Email,Support Ticket,Live Chat","100+ Sites,Unlimited Sites",Excellent,"SEOpress, All in one SEO,Yoast SEO",Yes
