Title,_review_post_score_manual,rehub_review_overall_score,rehub_review_editor_score,rank_math_seo_score,_review_score_criteria_1,_review_score_criteria_2,_review_score_criteria_3,_review_score_criteria_4,_review_score_criteria_5
BunnyCDN,8.3,8.3,,23,,,,,
SiteGround,0,,,,,,,,
Bluehost,0,,,,,,,,
Plesk,0,,,16,,,,,
Plutio,8.3,8.3,8.3,26,,,,,
CiuisCRM,0,,,,,,,,
Mailchimp,9.1,9.1,9.1,23,,,,,
SendGrid,0,,,23,,,,,
Hestia,0,,,,,,,,
OceanWP,8.5,8.5,,,7,9.5,8,9.5,
ShopIsle,0,,,,,,,,
BetterDocs,0,,,,,,,,
Generatepress,9.5,9.5,,,9.5,8.5,9.5,9.5,9.5
Kadence,9.5,9.5,,,9,9.5,9,9,9.5
Imagely,9.5,9.5,,,9.5,8.5,9.5,9.5,9.5
Brizy,9.5,9.5,,,9.5,8.5,9.5,9.5,9.5
SEOPress,7.5,7.5,,40,,,,,
"Elementor Pro",0,,,93,,,,,
LearnDash,0,,,,,,,,
"Caldera Forms",9.5,9.5,,,,,,,
StackSocial,0,,,,,,,,
AppSumo,0,,,80,,,,,
Shortpixel,0,,,84,,,,,
"WP Fluent Forms",0,,,78,,,,,
Ora,7,7,7,22,,,,,
Glorify,8.8,8.8,8.8,89,,,,,
Trello,8.6,8.6,8.6,86,,,,,
VistaCreate,9.2,9.2,9.2,86,,,,,
"WP Security Ninja",0,,,33,,,,,
"All-in-One WP Migration",0,,,70,,,,,
TexAu,8.4,8.4,8.4,86,,,,,
Amelia,8.8,8.8,,16,10,9,8,8,9
"Advanced Custom Fields",8.5,8.5,,28,9.5,8.5,9,7.5,8
RelayThat,9,9,9,87,,,,,
Shopify,9,9,,,,,,,
Magento,8.5,8.5,,,,,,,
WordPress,,,,,,,,,
"User Back",8.6,8.6,8.6,81,,,,,
"7 Zip",8.5,8.5,,,9.5,6,9,,
Drupal,,,,80,,,,,
"WP Reset",8.8,8.8,,84,8.5,9.5,9,9.8,8.5
WebARX,9,9,,89,,,,,
Grammarly,8,8,8,87,,,,,
TortoiseGit,,8.3,,,9,8.5,7.5,,
ArticleForge,8.8,8.8,8.8,79,,,,,
Virusdie,9,9,,,,,,,
Loginpress,8.8,8.8,,68,8.2,8.3,8,9.2,6.6
Sucuri,9,9,,18,,,,,
"All In One WordPress Security and Firewall Plugin",9.6,9.6,,76,9.8,9.8,9.8,9.5,10
LiveWebinar,8.8,8.8,8.8,87,,,,,
"Essential Addons for Elementor",9.3,9.3,,,9.5,8.5,10,9.5,9
Cartflows,0,9.3,,20,9.5,9,9.5,9,
"WP Engine",0,3.8,,,0,5,5,5,
Kinsta,9.3,9.3,,,9.9,9.7,9.7,9.7,7
"Backup Guard",9.6,9.6,,,9.8,9.9,6.5,9.1,9.5
Mailpoet,0,9.3,,22,9.5,9,9.5,9,
Hostinger,0,9.5,,,9.6,9.6,9.4,9.2,
Weje,9,9,,88,,,,,
Autoptimize,9.6,9.6,,,9.8,9.8,9.8,9.5,10
"WPvivid Backup",9.6,9.6,,23,9.8,9.9,9.6,9.6,9.1
Quillbot,9.1,9.1,9.1,93,,,,,
Crove.app,6.6,6.6,6.6,27,,,,,
Chugzi,5,5,5,27,,,,,
WPSmartPay,8.8,8.8,5.4,,,,,,
Usetiful,5,5,5,27,,,,,
RemasterMedia,5,5,5,93,,,,,
Biteplay,4.6,4.6,4.5,87,,,,,
GummySearch,7.3,7.3,4.6,88,,,,,
ContentBot,6.6,6.6,6.6,87,,,,,
TrueRanker,7.2,7.2,7.2,85,,,,,
Trust,8.8,8.8,5.4,87,,,,,
NeuronWriter,8.8,8.8,8,93,,,,,
Vepaar,7.5,7.5,7.5,85,,,,,
Scalenut,7.4,7.4,7.2,93,,,,,
Prelo,6.4,6.4,6.1,87,,,,,
"Xpro Addons for Elementor",8.8,8.8,5.4,91,,,,,
SheerSEO,7,7,7,87,,,,,
Wordplay ,8.8,8.8,7.3,87,,,,,
WooLentor,8.8,8.8,5.4,87,,,,,
"Microsoft Power Automate",8,8,8,87,,,,,
useArtemis,8,8,8,87,,,,,
"Bit Integrations",8,8,8,93,,,,,
BackupSheep,7.7,7.7,7.7,93,,,,,
Dukaan,8.8,8.8,8.4,87,,,,,
Heartbeat,6.4,6.4,6.4,93,,,,,
"WP Force SSL",8.8,8.8,5.4,93,,,,,
"Grab Your Reviews",8.8,8.8,8.2,90,,,,,
LeadRocks,8.8,8.8,6.6,87,,,,,
pxl.to,6.5,6.5,6,81,,,,,
"Rank Math",9,9,8.2,42,,,,,
"Meta API",8.2,8.2,8.2,90,,,,,
"LeadRocks -- to be updated",8.8,8.8,6.6,87,,,,,
Boost.space,8.2,8.2,8.2,88,,,,,
