Name,ID,Type,SKU,External URL,Affiliate Link,Article URL,Button text,Featured,Content Structure,Unique Feature,Review Date ,Review Date ,Price ($),Price Suffix (/Month or /Year),Company Name ,Registered Country ,Initial Release, Pricing options , Free Version, Lifetime Deal Offered , LTD Platform , Money-Back Guarantee , Appsfomo Ratings ,Support type ,Integrations , Supported Device , Mobile app 
Wordplay ,22376,external,,https://wordplay.ai/,https://shop.appsfomo.com/p/OKk0/r,https://appsfomo.com/reviews/wordplay/,Sign Up Today,Done,Done,,9/11/2022,November 2022,35,/Month,Wordplay.ai,USA,2022,"Montlhy,Yearly",Free Trial,Yes,Appsumo,7 Days,7.3,"Email,Ticketing","Chrome, Google, WordPress","Web Based,Windows,Linux",Not Available
Microsoft Power Automate,22432,external,,https://powerautomate.microsoft.com/en-us/,https://shop.appsfomo.com/p/kznH/r,https://appsfomo.com/reviews/microsoft-power-automate/,Sign Up Today,Done,Done,,9/11/2022,November 2022,15,/Month,Microsoft Power Automate,USA,2021,"Montlhy,Pay as You Go",Free Trial,No,N/A,N/A,8,"Live Chat,Email,Ticketing","Microsoft Office 365, GoogleDrive, SAP ERP, Salesforce","Web Based,Windows,Android",Available
useArtemis,22458,external,,https://useartemis.co/,https://shop.appsfomo.com/p/EyIf/r,https://appsfomo.com/reviews/useartemis/,Sign Up Today,Done,Done,,7/11/2022,November 2022,29,/Month,useArtemis,France,2022,Montlhy,Not Available,Yes,Appsumo,N/A,8,"Live Chat,Email,Ticketing","Linkedin ,Chrome",Web Based,Not Available
BackupSheep,22518,external,,https://backupsheep.com/,Not Found,https://appsfomo.com/?post_type=product&p=22518,Sign Up Today,Done,Done,,,December 2022,10,/Month,BackupSheep,Canada,2017,Montlhy,Free Tier,Yes,Appsumo,N/A,7.7,"Live Chat,Email","Amazon S3, Google Drive, Onedrive, Dropbox",Web Based,Not Available
Dukaan,22564,external,,https://mydukaan.io/,shop.appsfomo.com/p/7Kke/r,https://appsfomo.com/?post_type=product&p=22564,Sign Up Today,Done,Done,,,December 2022,4.62,/Month,Dukaan,India,2020,"Montlhy,Yearly",Free Trial,Yes,Appsumo,N/A,8.4,"Live Chat,Email","Facebook pixel, Intercom, Stripe, Payal, Google Adwords","Web Based,Android",Available
Heartbeat,22606,external,,https://www.heartbeat.chat/,Not Found,https://appsfomo.com/?post_type=product&p=22606,Sign Up Today,Done,Done,,,December 2022,29,/Month,Heartbeat Chat Inc,USA,2020,Montlhy,Free Trial,Yes,Appsumo,N/A,6.4,"Live Chat,Email,Ticketing","Notion, Stripe, Zapier, zoom, Google Calender","Web Based,Windows,Android,IOS",Not Available
Grab Your Reviews,22670,external,,https://grabyourreviews.com/,Not Found,https://appsfomo.com/?post_type=product&p=22670,Sign Up Today,Done,Done,,,December 2022,29,/Month,Grab Your Reviews,India,2020,"Montlhy,Yearly",Free Trial,Yes,Appsumo,N/A,8.2,"Live Chat,Email,Ticketing,Phone Call",Zapier,"Web Based,Android",Not Available
WP Force SSL,22670,external,,,https://shop.appsfomo.com/p/lKLc/r,https://appsfomo.com/?post_type=product&p=22670,Sign Up Today,Done,Done,,,December 2022,29,/Month,Grab Your Reviews,India,2020,"Montlhy,Yearly",Free Trial,Yes,Appsumo,N/A,8.2,"Live Chat,Email,Ticketing,Phone Call",Zapier,"Web Based,Android",Not Available
LeadRocks,23000,external,,https://leadrocks.io/,https://shop.appsfomo.com/p/nCwY/r,https://appsfomo.com/?post_type=product&p=23000,Sign Up Today,Done,Done,,,December 2022,29,/Month,LeadRocks,Cyprus,2022,Montlhy,Free Tier,Yes,Appsumo,N/A,6.6,"Live Chat,Email","Chrome, Linkedin ","Web Based,Windows",Not Available
pxl.to,23042,external,,https://www.pxl.to/,https://shop.appsfomo.com/p/u5aq/r,https://appsfomo.com/?post_type=product&p=23042,Sign Up Today,Done,Done,,,December 2022,30,/Month,pxl.to,USA,2022,Montlhy,Free Trial,Yes,Appsumo,N/A,6,Email,"Facebook pixel, Linkedin, Google Adwords, Google Analytics",Web Based,Not Available
